library,code,name,Lab_L,Lab_a,Lab_b,C,M,Y,K,R,G,B
CMYK,PANTONE P 1-1 C,,96.86274509803921,-1,2,,,,,,,
CMYK,PANTONE P 1-2 C,,96.47058823529412,-1,7,,,,,,,
CMYK,PANTONE P 1-3 C,,95.68627450980392,-2,16,,,,,,,
CMYK,PANTONE P 1-4 C,,94.90196078431372,-3,28,,,,,,,
CMYK,PANTONE P 1-5 C,,94.11764705882352,-4,42,,,,,,,
CMYK,PANTONE P 1-6 C,,92.94117647058823,-4,55,,,,,,,
CMYK,PANTONE P 1-7 C,,92.15686274509804,-5,75,,,,,,,
CMYK,PANTONE P 1-8 C,,91.37254901960785,-5,94,,,,,,,
CMYK,PANTONE P 1-9 C,,96.07843137254902,-1,4,,,,,,,
CMYK,PANTONE P 1-10 C,,92.54901960784314,-3,20,,,,,,,
CMYK,PANTONE P 1-11 C,,92.94117647058823,-3,20,,,,,,,
CMYK,PANTONE P 1-12 C,,91.37254901960785,-3,30,,,,,,,
CMYK,PANTONE P 1-13 C,,89.01960784313725,-4,42,,,,,,,
CMYK,PANTONE P 1-14 C,,87.05882352941177,-4,51,,,,,,,
CMYK,PANTONE P 1-15 C,,83.92156862745098,-5,68,,,,,,,
CMYK,PANTONE P 1-16 C,,81.17647058823529,-5,83,,,,,,,
CMYK,PANTONE P 2-1 C,,92.54901960784314,-2,17,,,,,,,
CMYK,PANTONE P 2-2 C,,89.80392156862746,-3,25,,,,,,,
CMYK,PANTONE P 2-3 C,,87.84313725490196,-3,33,,,,,,,
CMYK,PANTONE P 2-4 C,,85.09803921568627,-4,46,,,,,,,
CMYK,PANTONE P 2-5 C,,82.35294117647058,-4,55,,,,,,,
CMYK,PANTONE P 2-6 C,,80.3921568627451,-5,65,,,,,,,
CMYK,PANTONE P 2-7 C,,77.25490196078432,-5,78,,,,,,,
CMYK,PANTONE P 2-8 C,,74.90196078431373,-4,81,,,,,,,
CMYK,PANTONE P 2-9 C,,89.80392156862746,-2,19,,,,,,,
CMYK,PANTONE P 2-10 C,,86.27450980392157,-3,26,,,,,,,
CMYK,PANTONE P 2-11 C,,83.92156862745098,-4,33,,,,,,,
CMYK,PANTONE P 2-12 C,,81.17647058823529,-4,39,,,,,,,
CMYK,PANTONE P 2-13 C,,78.43137254901961,-4,46,,,,,,,
CMYK,PANTONE P 2-14 C,,76.07843137254902,-5,54,,,,,,,
CMYK,PANTONE P 2-15 C,,72.54901960784314,-5,64,,,,,,,
CMYK,PANTONE P 2-16 C,,68.62745098039215,-5,72,,,,,,,
CMYK,PANTONE P 3-1 C,,90.58823529411765,-2,12,,,,,,,
CMYK,PANTONE P 3-2 C,,86.66666666666667,-3,20,,,,,,,
CMYK,PANTONE P 3-3 C,,83.52941176470588,-3,28,,,,,,,
CMYK,PANTONE P 3-4 C,,78.82352941176471,-4,34,,,,,,,
CMYK,PANTONE P 3-5 C,,74.50980392156863,-4,39,,,,,,,
CMYK,PANTONE P 3-6 C,,70.19607843137254,-4,46,,,,,,,
CMYK,PANTONE P 3-7 C,,64.31372549019608,-5,54,,,,,,,
CMYK,PANTONE P 3-8 C,,58.82352941176471,-5,59,,,,,,,
CMYK,PANTONE P 3-9 C,,92.54901960784314,-1,7,,,,,,,
CMYK,PANTONE P 3-10 C,,87.84313725490196,-2,16,,,,,,,
CMYK,PANTONE P 3-11 C,,82.35294117647058,-3,24,,,,,,,
